Date;Time;Severity;TID;This;Function;Message
2019/04/22;15:53:12.645;DEBUG;13832;0000000000000000;InitLog@99;"InitLog"
2019/04/22;15:53:12.645;DEBUG;13832;0000000000000000;DllMain@588;"DLL is attach to process"
2019/04/22;15:53:12.645;DEBUG;13832;0000000000000000;GetCurrentProcInfo@159;"Current Process Name: fteqccgui64.exe"
2019/04/22;15:53:12.646;DEBUG;13832;0000000000000000;GetCurrentProcInfo@167;"Current Process ID: 16688"
2019/04/22;15:53:12.646;DEBUG;13832;0000000000000000;GetCurrentProcInfo@173;"Current Directory: D:\[GAMES]\Quakeworld\storm\qc"
2019/04/22;15:53:12.646;DEBUG;13832;0000000000000000;InitEvents@571;"Init events: CAMOverlayStarted16688"
2019/04/22;15:53:12.746;DEBUG;13552;0000000000000000;InitHook@447;"Init hook"
2019/04/22;15:53:12.747;DEBUG;13552;0000000000000000;InitNamedPipes@438;"Named pipe initialized: "
2019/04/22;15:53:12.747;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:53:12.752;DEBUG;13552;0000000000000000;HookDXGI@228;"Hooked DXGI"
2019/04/22;15:53:12.752;DEBUG;13552;0000000000000000;TryHook@510;"DXGI(D10, D11, D12) is hooked"
2019/04/22;15:53:12.752;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:53:16.842;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:53:20.931;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:53:25.020;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:53:29.109;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:53:33.201;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:53:37.290;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:53:41.379;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:53:45.468;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:53:49.557;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:53:53.646;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:53:57.735;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:54:01.824;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:54:05.913;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:54:10.002;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:54:14.091;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:54:18.181;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:54:22.270;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:54:26.359;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:54:30.448;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:54:34.537;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:54:38.626;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:54:42.715;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:54:46.804;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:54:50.893;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:54:54.982;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/04/22;15:54:59.071;DEBUG;13552;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
